     1     2     5     0     1     3     5     7     0     0     1     1     1     3     0     0   623     1
     2     2     6     2     3     5     7     1     0     0     0     0     1     2     0     0   558     1
     3     2     5     0     1     3     5     7     1     0     0     0     0     2     1     0   809     1
     4     2     5     0     1     3     5     7     1     1     0     1     0     1     0     1   680     0
     5     1     4     1     8     2     4     6     0     1     1     1     1     3     1     0   647     0
     6     2     5     0     1     3     5     7     0     0     1     1     1     3     0     1   535     0
     7     1     2     2     4     6     8     2     0     1     1     0     1     3     0     1   498     0
     8     1     2     2     4     6     8     2     0     1     0     1     1     1     0     0   428     0
     9     1     4     1     8     2     4     6     1     1     1     0     1     2     1     0   456     0
    10     1     4     1     8     2     4     6     0     1     0     1     1     1     1     0   438     0
    11     1     4     1     8     2     4     6     0     0     1     0     0     1     0     1   496     0
    12     2     5     0     1     3     5     7     1     0     1     1     0     3     1     0   562     0
    13     1     3     1     6     8     2     4     0     1     0     0     1     3     1     1   575     0
    14     1     3     1     6     8     2     4     1     1     0     0     0     1     1     0   505     0
    15     1     3     1     6     8     2     4     0     0     0     0     0     1     1     1   766     0
    16     1     3     1     6     8     2     4     0     1     1     0     0     1     0     1   463     1
    17     1     4     1     8     2     4     6     0     1     0     1     1     2     0     0   548     0
    18     1     4     1     8     2     4     6     1     0     1     1     0     1     1     1   718     0
    19     1     1     2     2     4     6     8     0     1     1     0     0     2     1     1   648     0
    20     1     2     2     4     6     8     2     1     1     0     0     0     2     1     0   742     0
    21     1     2     2     4     6     8     2     1     0     1     1     1     1     0     1   504     1
    22     1     3     1     6     8     2     4     0     0     0     0     1     2     1     0   704     0
    23     1     2     2     4     6     8     2     1     0     1     1     1     2     1     0   683     0
    24     1     2     2     4     6     8     2     1     1     1     1     1     1     0     1   540     0
    25     2     7     0     5     7     1     3     0     0     0     0     1     3     1     1   758     0
    26     2     7     0     5     7     1     3     0     0     0     1     1     1     0     0   480     0
    27     2     7     0     5     7     1     3     0     0     1     1     1     1     0     0   484     0
    28     1     4     1     8     2     4     6     0     1     0     0     1     3     0     1   609     0
    29     2     7     0     5     7     1     3     1     0     0     1     0     3     1     1   546     1
    30     2     7     0     5     7     1     3     1     0     0     1     0     1     0     0   564     0
    31     2     6     2     3     5     7     1     0     1     0     1     1     2     1     1   662     0
    32     1     3     1     6     8     2     4     0     0     1     0     1     3     0     1   845     0
    33     1     3     1     6     8     2     4     0     0     0     0     0     1     0     0   619     0
    34     1     3     1     6     8     2     4     1     0     1     1     0     1     1     0   429     0
    35     1     1     2     2     4     6     8     0     1     1     1     0     2     1     1   675     0
    36     1     1     2     2     4     6     8     1     0     1     1     0     1     1     1   613     1
    37     2     7     0     5     7     1     3     0     0     1     1     1     3     1     0   651     0
    38     2     5     0     1     3     5     7     1     1     0     1     0     2     1     1   557     0
    39     2     6     2     3     5     7     1     1     0     1     0     0     2     0     1  1135     0
    40     2     7     0     5     7     1     3     1     1     0     1     0     2     0     1   531     0
    41     1     3     1     6     8     2     4     1     0     0     1     1     3     0     1   496     0
    42     1     3     1     6     8     2     4     0     1     1     1     1     1     1     1   954     0
    43     2     8     1     7     1     3     5     0     1     1     0     0     3     0     0   521     1
    44     2     8     1     7     1     3     5     0     1     1     0     0     1     0     0   501     0
    45     2     8     1     7     1     3     5     1     1     1     1     1     1     1     0   515     0
    46     2     5     0     1     3     5     7     1     1     0     0     1     2     0     0   452     0
    47     2     8     1     7     1     3     5     1     1     0     1     0     2     0     0   473     1
    48     2     8     1     7     1     3     5     0     0     1     0     0     1     1     1   519     0
    49     2     7     0     5     7     1     3     0     1     1     1     1     2     0     1   494     0
    50     2     8     1     7     1     3     5     0     1     1     1     1     2     0     0   449     0
    51     1     2     2     4     6     8     2     0     1     1     1     1     3     0     0   458     0
    52     2     5     0     1     3     5     7     0     1     1     0     0     3     0     0   462     0
    53     2     6     2     3     5     7     1     0     0     0     1     0     2     0     1   508     1
    54     2     5     0     1     3     5     7     1     0     0     0     1     2     1     0   735     0
    55     2     8     1     7     1     3     5     0     0     1     0     0     2     1     0   584     0
    56     2     6     2     3     5     7     1     0     1     0     1     1     2     0     1   444     0
    57     1     2     2     4     6     8     2     0     1     1     0     1     3     0     0   570     0
    58     1     2     2     4     6     8     2     0     0     1     1     0     1     0     1   683     0
    59     1     1     2     2     4     6     8     1     1     1     0     1     2     1     1   609     0
    60     1     1     2     2     4     6     8     1     1     1     0     0     1     0     0   504     0
    61     1     3     1     6     8     2     4     0     0     1     0     1     2     1     1   420     1
    62     1     2     2     4     6     8     2     1     1     0     0     0     2     1     1   551     0
    63     1     3     1     6     8     2     4     0     0     0     0     1     2     1     1   528     1
    64     1     3     1     6     8     2     4     1     1     0     0     1     1     1     1   506     0
    65     1     2     2     4     6     8     2     0     1     1     0     0     2     1     0   670     0
    66     1     3     1     6     8     2     4     1     0     1     0     1     2     1     1   780     0
    67     1     1     2     2     4     6     8     0     0     0     0     1     2     1     0   635     1
    68     1     1     2     2     4     6     8     1     1     1     0     1     1     1     1   530     0
    69     2     5     0     1     3     5     7     0     1     1     0     1     3     1     0   547     1
    70     1     2     2     4     6     8     2     0     0     1     1     0     3     0     1   540     1
    71     2     8     1     7     1     3     5     1     1     0     0     0     3     1     1   900     0
    72     2     8     1     7     1     3     5     0     0     1     0     0     1     1     1   524     0
    73     1     3     1     6     8     2     4     0     1     1     1     1     3     0     1   480     0
    74     1     3     1     6     8     2     4     0     0     1     1     1     1     0     1   490     0
    75     2     5     0     1     3     5     7     0     1     0     0     0     3     0     1   466     0
