    76     2     7     0     5     7     1     3     1     0     1     1     0     1     1     0   547     0
    77     2     6     2     3     5     7     1     1     0     1     1     1     2     0     0   811     0
    78     2     6     2     3     5     7     1     0     0     0     1     0     1     1     0   620     0
    79     1     4     1     8     2     4     6     1     0     0     0     1     3     1     0   745     0
    80     1     1     2     2     4     6     8     1     0     1     1     1     2     0     0   588     0
    81     2     6     2     3     5     7     1     1     1     1     0     1     3     0     1   540     0
    82     2     5     0     1     3     5     7     1     1     1     1     1     2     0     0   731     0
    83     2     8     1     7     1     3     5     0     1     0     1     1     2     1     0   577     1
    84     2     8     1     7     1     3     5     1     1     0     1     1     1     1     0   628     0
    85     2     8     1     7     1     3     5     0     0     0     1     0     1     1     1   520     1
    86     2     5     0     1     3     5     7     0     1     1     0     0     2     0     1   630     1
    87     1     4     1     8     2     4     6     1     0     1     0     1     3     1     1  1040     0
    88     1     4     1     8     2     4     6     1     0     0     0     1     1     0     0   505     0
    89     1     3     1     6     8     2     4     0     0     1     0     1     2     1     0   775     0
    90     1     3     1     6     8     2     4     1     1     0     1     1     1     1     1   710     0
    91     2     8     1     7     1     3     5     0     0     0     1     1     3     1     1   485     1
    92     2     7     0     5     7     1     3     1     1     1     1     1     2     1     1  1135     0
    93     2     8     1     7     1     3     5     1     1     0     0     1     2     0     0   797     0
    94     1     3     1     6     8     2     4     0     0     1     0     1     3     1     1   646     0
    95     1     1     2     2     4     6     8     1     0     0     1     1     2     1     0   815     0
    96     1     1     2     2     4     6     8     1     1     0     1     0     1     0     1   635     0
    97     1     4     1     8     2     4     6     0     1     1     1     0     2     1     0   704     0
    98     1     4     1     8     2     4     6     1     1     1     0     0     1     1     0   622     0
    99     1     2     2     4     6     8     2     0     0     0     1     0     2     1     1   826     0
   100     1     2     2     4     6     8     2     1     0     1     1     0     1     1     0   611     0
   101     2     8     1     7     1     3     5     1     1     0     1     0     3     0     1   500     0
   102     2     8     1     7     1     3     5     0     0     0     0     1     1     1     1   639     0
   103     2     7     0     5     7     1     3     1     1     1     1     0     2     1     1   836     0
   104     2     8     1     7     1     3     5     1     1     1     0     1     2     0     0   817     1
   105     1     2     2     4     6     8     2     1     1     0     0     1     3     0     0   869     0
   106     1     2     2     4     6     8     2     0     1     0     0     0     1     1     0   693     0
   107     1     2     2     4     6     8     2     1     1     0     0     1     1     1     0   536     0
   108     1     2     2     4     6     8     2     1     1     1     1     1     1     0     0   483     0
   109     1     3     1     6     8     2     4     0     0     1     1     1     2     1     1   682     1
   110     1     3     1     6     8     2     4     1     1     1     0     0     1     1     1   834     1
   111     2     6     2     3     5     7     1     0     0     1     1     0     3     1     1   973     0
   112     2     7     0     5     7     1     3     0     1     0     1     0     2     0     1   733     0
   113     2     6     2     3     5     7     1     0     1     0     0     1     2     0     0   717     1
   114     2     7     0     5     7     1     3     0     0     1     0     1     2     0     1   876     0
   115     1     4     1     8     2     4     6     1     0     0     1     1     3     1     0   833     0
   116     1     4     1     8     2     4     6     0     1     1     1     1     1     1     1   739     0
   117     1     2     2     4     6     8     2     0     1     1     1     0     2     0     0   701     0
   118     1     2     2     4     6     8     2     0     1     1     0     1     1     0     0   592     0
   119     1     1     2     2     4     6     8     0     1     0     1     1     2     0     0   621     1
   120     1     4     1     8     2     4     6     1     1     1     1     1     2     1     0  1017     0
   121     2     6     2     3     5     7     1     0     0     0     1     1     3     1     1   670     0
